trial,day,go,mo,oc,pl
141,5,1017.8,2075.65,2595.125,3417.075
142,5,884.225,1473.775,1831.175,2368.65
143,5,668.7,1169.3,1506.025,2166.875
144,5,651.825,960,1557.875,2199.15
145,5,734.275,1847.75,2327.95,3375.4
146,5,701.925,1298.35,1600.225,2147.625
147,5,985.2,1734.05,2015.7,2519.875
148,5,768.6,1261.225,1524.7,1995.975
149,5,602.15,1150,1449.625,1856.3
150,5,967.85,1476.15,1835.1,2529.675
151,5,694.525,1211.625,1694.875,2152.5
152,5,635.425,1401.475,1729.375,2200.4
153,5,872.675,1382.025,1714.1,2167
154,5,934.775,1478.725,1766.775,2299.95
155,5,734.825,1218.3,1437.475,2000.4
156,5,568.15,1012.55,1320.075,1762.25
157,5,768.05,870.95,1240.75,1773
158,5,771.025,1209.35,1454.9,1900.475
159,5,951.6,1405.075,1601.15,2231.025
160,5,1003.375,1398.575,1684.975,2133.325
161,5,1037.275,1409.225,1669.825,2124.175
162,5,568.45,1481.925,1833.025,2338.175
163,5,968.05,1364.975,1917.325,2440.875
164,5,734.775,1343.875,1701.275,2346.8
165,5,901.7,1650.325,2125.2,2716.4
166,5,635.05,1149.275,1586.65,2164.6
167,5,988.825,1420.875,1800.775,2334.9
168,5,618.125,1010.7,1485.7,2075.6
169,5,934.25,1160.25,1563.125,2073.7
170,5,771.05,1252.4,1727.925,2197.025
171,5,602.275,865.75,1279.15,1670.15
172,5,636.025,1150.05,1464.8,2259.5
173,5,838.8,1311.05,1619.45,2120.9
174,5,867.7,1376.325,1690.1,2155.525
175,5,667.275,1191.075,1474.75,2116.3
176,6,834.775,1421.95,1773.2,2342.85
177,6,868.1,1317.8,1652.3,2316.55
178,6,971.1,1098.2,1468.8,2396.95
179,6,866.975,1145.225,1462.075,1895.325
180,6,834.95,1409.55,1732.275,2370.9
181,6,584.025,916.05,1260.325,1755.7
182,6,867.5,1265.075,1521.825,2012.4
183,6,767.825,1324.65,1652.825,2277.525
184,6,836.075,1305.425,1596.75,2465.925
185,6,601.325,1129.975,1383.775,1970.5
186,6,834.4,1174.85,1417.95,1876.9
187,6,569.625,983.825,1291.1,2220.675
188,6,866.925,986.85,1377.9,1796.4
189,6,637.5,1362.775,1641.725,2108.225
190,6,968.5,1321.15,1601.525,2091.525
191,6,601.075,1362.675,1618.95,2309.4
192,6,972.85,1384.1,1725.4,2401.75
193,6,667.725,1044.75,1386.55,2046
194,6,901.775,1318,1721.425,2228.475
195,6,784.225,1263.2,1690.675,2266.8
196,6,651.5,1070.55,1443.1,2048.85
197,6,734.75,1153.125,1375.8,1962.65
198,6,1050.975,1569.75,1830.25,2272.875
199,6,870.7,1527.9,1771.65,2576.875
200,6,617.35,1189.15,1458.2,1936.525
201,6,1036.175,1683.275,2036.375,2662.025
202,6,654.6,1287.6,1676.65,2187.275
203,6,901.9,1421.825,2206.025,2420.975
